ratio,np,label,angle
1.33530118158719,6,BotodOr,69
1.26365350845551,8,BotodOr,72
1.43343003753722,5,BotodOr,73
1.12111720582803,5,BotodOr,76
1.23168487480602,7,BotodOr,76
1.26838989333389,5,BotodOr,72
1.84513884099808,6,BotodOr,66
1.27271776643977,7,BotodOr,80
1.44630205131339,5,BotodOr,72
1.14900716114347,7,BotodOr,68
1.15232004476226,7,BotodOr,79
1.41277382215844,7,BotodOr,73
1.41882719612035,5,BotodOr,82
1.26458429602932,10,BotodOr,83
1.38052892559751,7,BotodOr,83
1.45123155273464,5,BotodOr,84
1.21838117307733,8,BotodOr,81
1.18489331151604,6,BotodOr,66
1.3389674111235,6,BotodOr,81
1.55482628093849,4,BotodOr,77
1.22701915388348,6,BotodOr,79
1.25568571285036,7,BotodOr,73
1.14510213022022,6,BotodOr,81
1.2455129023969,8,BotodOr,76
1.16103859773219,9,BotodOr,71
1.39537712733553,7,BotodOr,72
1.20100736655716,5,BotodOr,68
1.16983465577713,9,BotodOr,69
1.26344252636867,8,BotodOr,74
1.32090761316134,7,BotodOr,67
1.46642241803849,6,BotodOr,64
1.26229586985409,6,BotodOr,81
1.21626607486898,5,BotodOr,87
1.15666650017904,7,BotodOr,83
1.24857290647256,8,BotodOr,64
1.23077082060926,7,BotodOr,74
1.256021813396,5,BotodOr,72
1.18185310273991,7,BotodOr,68
1.37738580121365,5,BotodOr,85
1.43050655729232,6,BotodOr,78
1.27306330525488,7,Buixol,68
1.28435785407124,10,Buixol,246
1.22282431796212,6,Buixol,68
1.20566371505608,7,Buixol,92
1.98038373796256,5,Buixol,232
1.20183845573254,6,Buixol,75
1.22678697542431,6,Buixol,270
1.2046637816863,8,Buixol,71
1.35720128825143,7,Buixol,182
1.34548640739554,7,Buixol,248
1.67979572777954,7,Buixol,227
1.24960141006932,6,Buixol,79
1.42337846078453,6,Buixol,183
1.30975903050666,6,Buixol,235
1.31800281832262,6,Buixol,60
1.33124941557386,5,Buixol,59
1.16630203271295,6,Buixol,21
1.90143357633907,4,Buixol,272
1.82988527789978,4,Buixol,171
1.26395249140313,6,Buixol,248
1.37196614649651,6,Buixol,78
1.39937335609781,6,Buixol,243
2.07651354364311,4,Buixol,73
1.3834421951004,6,Buixol,105
1.52465106693016,6,Buixol,111
1.43225391067711,7,Buixol,63
1.6494121132437,6,Buixol,222
1.33043716659625,7,Buixol,65
2.1664723732351,5,Buixol,160
1.19772113288062,6,Buixol,247
1.21315288992997,6,Buixol,65
1.66994417381208,6,Buixol,81
1.25978723427051,6,Buixol,86
1.2421586311204,10,Buixol,80
1.31466451431881,7,Buixol,185
1.42385917567442,7,Buixol,153
1.32480106146538,7,Buixol,50
1.2978210022226,6,Buixol,182
1.71667300930508,5,Buixol,21
1.32106159154246,9,Buixol,71
1.37079297668857,6,Buixol,67
1.99706529831977,5,Buixol,232
